Название района;Назва району;Город;Область;Тип
Ивановка;Іванівка;Барановка;Житомирская;Село
Ивановка;Іванівка;Володарск-Волынский;Житомирская;Село
Ивановка;Іванівка;Лугины;Житомирская;Село
Ивановцы;Іванівці;Житомир;Житомирская;Село
Иванополь;Іванопіль;Чуднов;Житомирская;Село
Ивашковка;Івашківка;Новоград-Волынский;Житомирская;Село
Ивница;Івниця;Андрушевка;Житомирская;Село
Игнатполь;Ігнатпіль;Овруч;Житомирская;Село
Иосиповка;Йосипівка;Барановка;Житомирская;Село
Иосиповка;Йосипівка;Брусилов;Житомирская;Село
Ирша;Ірша;Радомышль;Житомирская;Село
Иршанск;Іршанськ;Володарск-Волынский;Житомирская;Село
Йосиповка;Йосипівка;Малин;Житомирская;Село
